id_beneficiaire,region,zone,genre,age,statut_matrimonial,niveau_education,activite_principale,type_pret,groupe_solidarite,nb_cycles_anterieurs,nb_membres_menage,tontine_avant,mobile_money,montant_pret_fcfa,duree_pret_mois,distance_service_km,revenu_avant_fcfa,revenu_apres_fcfa,variation_revenu_pct,epargne_fcfa,emplois_crees,taux_remboursement_pct,score_satisfaction,defaut_flag
BEN-0139,Zanzan,Urbain,Femme,29,Marie(e),Aucun,Agriculture,Individuel,Groupe C,1,9,Non,Non,601000,18,4.0,,183200,49.4,,1,92.2,,0
BEN-0140,Cavally,Urbain,Homme,28,Veuf/Veuve,Primaire,Artisanat,Solidaire,Groupe A,2,2,Oui,Oui,128000,24,3.9,341000,413600,21.3,12700,0,100.0,3.4,0
BEN-0141,Belier,Semi-urbain,Homme,23,Celibataire,Secondaire,Artisanat,Individuel,Groupe B,1,3,Non,Oui,749000,12,5.2,143600,174800,21.7,14000,3,98.7,4.0,1
BEN-0142,Vallee du Bandama,Semi-urbain,Femme,20,Divorce(e),Primaire,Commerce,Individuel,Groupe B,3,4,Non,Non,604000,18,0.8,170900,249900,46.2,2700,1,85.2,2.1,1
BEN-0143,Vallee du Bandama,Semi-urbain,Femme,43,Marie(e),Secondaire,Artisanat,Solidaire,Groupe C,2,7,Non,Non,305000,24,1.4,342500,331800,-3.1,1100,0,100.0,4.2,0
BEN-0144,Vallee du Bandama,Semi-urbain,Femme,35,Marie(e),Primaire,Commerce,Solidaire,Groupe C,2,9,Oui,Non,296000,12,19.6,130500,201300,54.3,10300,1,80.2,3.3,1
BEN-0145,Belier,Rural,Femme,18,Marie(e),Aucun,Artisanat,Individuel,Groupe A,1,3,Oui,Non,532000,24,28.4,137600,163200,18.6,2200,0,74.5,4.9,0
BEN-0146,Vallee du Bandama,Semi-urbain,Homme,43,Marie(e),Secondaire,Commerce,Solidaire,Groupe C,1,5,Oui,Non,262000,18,0.9,196000,288500,47.2,8200,5,96.6,3.8,0
BEN-0147,Zanzan,Semi-urbain,Homme,18,Veuf/Veuve,Superieur,Commerce,Individuel,Groupe B,1,5,Non,Oui,401000,18,41.3,254500,325200,27.8,17900,3,83.6,2.7,1
BEN-0148,Zanzan,Rural,Homme,38,Marie(e),Primaire,Elevage,Individuel,Groupe B,1,5,Oui,Non,182000,18,19.0,123100,145500,18.2,4600,0,,4.0,1
BEN-0149,Marahoue,Rural,Femme,34,Celibataire,Aucun,Agriculture,Solidaire,Groupe B,1,4,Non,Oui,897000,24,16.5,236900,297200,25.5,6100,2,100.0,1.3,1
BEN-0150,Vallee du Bandama,Semi-urbain,Homme,42,Marie(e),Secondaire,Agriculture,Solidaire,Groupe C,5,9,Oui,Oui,76000,12,11.6,201300,275900,37.1,11100,0,100.0,5.0,0
BEN-0151,Belier,Rural,Femme,46,Marie(e),Secondaire,Commerce,Individuel,Groupe A,4,5,Oui,Non,376000,12,29.8,119100,127300,6.9,11500,0,74.5,4.6,0
BEN-0152,Belier,Semi-urbain,Homme,51,Veuf/Veuve,Primaire,Commerce,Solidaire,Groupe B,2,5,Oui,Oui,768000,24,0.5,89600,84300,-5.9,,4,71.3,2.6,1
BEN-0153,Vallee du Bandama,Semi-urbain,Homme,45,Marie(e),Primaire,Agriculture,Solidaire,Groupe B,2,4,Non,Oui,206000,36,5.6,279100,224300,-19.6,4000,0,100.0,,1
BEN-0154,Vallee du Bandama,Semi-urbain,Homme,35,Marie(e),Primaire,Commerce,Individuel,Groupe B,0,5,Oui,Oui,490000,12,6.3,150400,189000,25.7,7600,3,86.9,3.1,1
BEN-0155,Marahoue,Rural,Homme,23,Marie(e),Primaire,Services,Solidaire,Groupe C,2,3,Non,Non,491000,12,22.2,153600,169000,10.0,4700,5,100.0,5.0,0
BEN-0156,Vallee du Bandama,Semi-urbain,Homme,37,Celibataire,Primaire,Elevage,Solidaire,Groupe C,2,7,Non,Non,555000,12,11.9,143500,174500,21.6,6500,2,96.5,3.0,1
BEN-0157,Vallee du Bandama,Semi-urbain,Femme,41,Marie(e),Primaire,Commerce,Solidaire,Groupe A,2,6,Oui,Oui,30000,18,27.1,115500,161000,39.4,3200,0,79.3,3.2,0
BEN-0158,Marahoue,Urbain,Homme,40,Marie(e),Primaire,Agriculture,Solidaire,Groupe B,1,3,Non,Oui,78000,24,28.4,102100,70500,-31.0,6700,0,98.3,3.7,0
BEN-0159,Marahoue,Rural,Femme,24,Celibataire,Secondaire,Commerce,Solidaire,Groupe C,6,5,Oui,Oui,293000,6,34.1,,175100,53.3,14200,2,67.8,2.5,0
BEN-0160,Zanzan,Rural,Femme,40,Marie(e),Aucun,Elevage,Solidaire,Groupe C,2,5,Non,Non,389000,24,73.7,226900,150000,-33.9,8000,2,92.7,3.4,0
BEN-0161,Belier,Semi-urbain,Homme,35,Celibataire,Primaire,Elevage,Solidaire,Groupe A,2,3,Oui,Non,239000,18,16.3,107300,149100,39.0,1300,0,95.6,3.1,1
BEN-0162,Zanzan,Semi-urbain,Femme,57,Marie(e),Aucun,Commerce,Individuel,Groupe B,2,4,Non,Non,216000,12,28.7,121000,189300,56.4,,1,85.3,4.4,1
BEN-0163,Zanzan,Semi-urbain,Femme,42,Celibataire,Secondaire,Agriculture,Solidaire,Groupe A,4,6,Oui,Non,252000,12,5.0,86600,123000,42.0,3900,3,89.5,1.1,1
BEN-0164,Marahoue,Urbain,Femme,39,Veuf/Veuve,Secondaire,Commerce,Solidaire,Groupe A,1,7,Non,Oui,626000,6,7.1,194500,240200,23.5,10700,2,100.0,3.4,1
BEN-0165,Belier,Semi-urbain,Homme,50,Marie(e),Primaire,Commerce,Solidaire,Groupe B,0,4,Non,Non,356000,18,0.7,161600,145000,-10.3,6100,0,100.0,4.6,0
BEN-0166,Marahoue,Rural,Femme,58,Divorce(e),Aucun,Commerce,Solidaire,Groupe C,3,5,Non,Non,494000,36,24.9,139900,176300,26.0,6900,1,96.4,4.0,0
BEN-0167,Zanzan,Rural,Femme,48,Celibataire,Aucun,Agriculture,Individuel,Groupe B,1,3,Non,Oui,586000,12,,110600,148700,34.4,1500,3,55.1,3.5,1
BEN-0168,Marahoue,Urbain,Femme,34,Marie(e),Secondaire,Agriculture,Solidaire,Groupe B,1,8,Non,Oui,262000,24,33.6,114100,163800,43.6,1800,1,78.6,1.8,1
BEN-0169,Vallee du Bandama,Urbain,Femme,40,Veuf/Veuve,Primaire,Commerce,Solidaire,Groupe B,2,3,Oui,Oui,181000,6,0.5,219900,209200,-4.9,400,0,100.0,5.0,0
BEN-0170,Marahoue,Rural,Femme,44,Veuf/Veuve,Secondaire,Artisanat,Solidaire,Groupe C,2,6,Oui,Non,167000,12,,152700,157100,2.9,9000,1,100.0,4.3,1
BEN-0171,Zanzan,Rural,Femme,31,Celibataire,Primaire,Artisanat,Solidaire,Groupe C,5,7,Non,Non,223000,18,16.6,128000,179500,40.2,6200,1,89.4,2.9,1
BEN-0172,Vallee du Bandama,Rural,Femme,52,Marie(e),Aucun,Transformation,Individuel,Groupe A,3,8,Non,Non,540000,24,16.1,323700,407600,25.9,17900,1,68.7,3.5,1
BEN-0173,Zanzan,Semi-urbain,Femme,19,Marie(e),Aucun,Commerce,Solidaire,Groupe A,2,5,Non,Non,150000,18,42.5,33600,49200,46.4,700,0,100.0,3.3,0
BEN-0174,Zanzan,Rural,Homme,32,Marie(e),Secondaire,Commerce,Individuel,Groupe C,4,6,Oui,Non,614000,12,18.5,,205900,37.7,10000,1,73.1,2.8,1
BEN-0175,Belier,Semi-urbain,Femme,26,Marie(e),Primaire,Services,Solidaire,Groupe A,2,1,Non,Oui,1364000,12,36.0,346200,379100,9.5,17200,3,100.0,4.0,1
BEN-0176,Cavally,Semi-urbain,Homme,35,Veuf/Veuve,Aucun,Commerce,Solidaire,Groupe C,2,5,Non,Oui,249000,24,3.5,217300,268700,23.7,10600,3,86.2,5.0,0
BEN-0177,Vallee du Bandama,Rural,Femme,34,Marie(e),Primaire,Elevage,Solidaire,Groupe A,1,7,Non,Non,168000,12,81.6,118200,172000,45.5,11000,1,79.8,3.9,1
BEN-0178,Marahoue,Urbain,Femme,37,Divorce(e),Primaire,Agriculture,Solidaire,Groupe A,0,7,Non,Oui,183000,18,0.5,141800,212600,49.9,8200,0,89.1,4.1,0
BEN-0179,Marahoue,Semi-urbain,Homme,44,Marie(e),Aucun,Elevage,Individuel,Groupe B,1,6,Oui,Non,610000,6,7.6,92400,121000,31.0,12000,1,82.4,2.8,1
BEN-0180,Cavally,Semi-urbain,Homme,30,Marie(e),Superieur,Commerce,Solidaire,Groupe A,1,5,Oui,Non,464000,12,23.1,167000,232200,39.0,12900,1,100.0,1.8,0
BEN-0181,Belier,Urbain,Homme,41,Marie(e),Secondaire,Commerce,Solidaire,Groupe B,3,5,Oui,Oui,751000,24,3.2,496000,711900,43.5,8500,4,100.0,3.9,1
BEN-0182,Belier,Rural,Homme,18,Divorce(e),Secondaire,Agriculture,Solidaire,Groupe B,0,8,Oui,Non,172000,12,24.4,135200,189200,39.9,5800,0,91.4,3.2,1
BEN-0183,Marahoue,Semi-urbain,Femme,40,Marie(e),Primaire,Agriculture,Solidaire,Groupe B,1,8,Non,Non,419000,12,0.5,131200,124500,-5.1,19800,2,83.9,5.0,0
BEN-0184,Vallee du Bandama,Urbain,Homme,44,Marie(e),Secondaire,Transformation,Individuel,Groupe C,2,9,Oui,Oui,289000,18,0.5,154400,256100,65.9,13700,0,100.0,3.0,0
BEN-0185,Belier,Semi-urbain,Femme,41,Marie(e),Primaire,Commerce,Individuel,Groupe C,2,5,Oui,Oui,276000,6,4.9,81400,81200,-0.2,700,1,97.9,3.5,0
BEN-0186,Zanzan,Urbain,Homme,43,Divorce(e),Aucun,Commerce,Solidaire,Groupe A,1,8,Oui,Oui,90000,12,0.5,340300,349100,2.6,11000,1,86.1,3.4,1
BEN-0187,Cavally,Rural,Femme,40,Veuf/Veuve,Primaire,Artisanat,Solidaire,Groupe A,0,7,Oui,Non,334000,24,37.7,83500,85600,2.5,4200,2,76.7,3.7,0
BEN-0188,Cavally,Semi-urbain,Femme,27,Marie(e),Secondaire,Services,Solidaire,Groupe C,1,6,Non,Oui,376000,18,11.2,485900,586100,20.6,1300,2,100.0,4.3,0
BEN-0189,Cavally,Rural,Femme,22,Marie(e),Secondaire,Commerce,Solidaire,Groupe C,2,4,Oui,Non,309000,24,17.2,67700,77900,15.1,8300,1,90.2,3.3,1
BEN-0190,Vallee du Bandama,Rural,Femme,30,Marie(e),Aucun,Commerce,Individuel,Groupe A,1,5,Oui,Non,1185000,24,31.4,73900,55100,-25.4,1600,1,83.5,3.8,0
BEN-0191,Zanzan,Urbain,Homme,38,Marie(e),Primaire,Commerce,Individuel,Groupe C,2,8,Non,Oui,554000,24,1.6,193600,222100,14.7,12300,4,70.7,3.0,1
BEN-0192,Marahoue,Rural,Femme,22,Celibataire,Secondaire,Agriculture,Solidaire,Groupe A,1,4,Non,Non,302000,24,22.2,213000,311300,46.2,16800,1,100.0,3.4,1
BEN-0193,Zanzan,Urbain,Homme,26,Celibataire,Secondaire,Agriculture,Solidaire,Groupe B,3,5,Non,Oui,232000,36,,,211600,30.2,8900,1,96.7,3.6,0
BEN-0194,Vallee du Bandama,Urbain,Femme,25,Celibataire,Superieur,Artisanat,Individuel,Groupe A,0,3,Oui,Oui,514000,12,4.1,203200,258000,27.0,4500,1,98.5,2.6,1
BEN-0195,Belier,Urbain,Femme,38,Marie(e),Secondaire,Artisanat,Solidaire,Groupe A,3,6,Oui,Oui,453000,36,0.5,202300,309400,52.9,4400,1,93.1,4.2,0
BEN-0196,Vallee du Bandama,Urbain,Femme,46,Veuf/Veuve,Aucun,Services,Solidaire,Groupe B,1,6,Oui,Oui,437000,12,15.2,174800,187800,7.4,14600,4,100.0,4.1,0
BEN-0197,Belier,Semi-urbain,Femme,26,Celibataire,Primaire,Elevage,Individuel,Groupe A,2,5,Oui,Non,112000,18,36.6,96600,124000,28.4,1600,1,70.4,2.5,1
BEN-0198,Marahoue,Rural,Homme,23,Marie(e),Superieur,Agriculture,Solidaire,Groupe C,0,3,Non,Oui,160000,12,36.5,278100,468700,68.5,45700,1,98.2,5.0,1
BEN-0199,Belier,Rural,Homme,37,Veuf/Veuve,Secondaire,Services,Solidaire,Groupe A,4,3,Oui,Oui,352000,24,15.9,170700,232500,36.2,19000,2,93.8,3.1,0
BEN-0200,Zanzan,Semi-urbain,Femme,18,Marie(e),Secondaire,Services,Solidaire,Groupe C,5,7,Non,Non,647000,12,5.7,79000,90900,15.1,,1,100.0,2.8,0
BEN-0201,Marahoue,Urbain,Femme,40,Veuf/Veuve,Primaire,Agriculture,Solidaire,Groupe A,2,7,Non,Oui,180000,18,0.5,144600,195800,35.4,3000,0,96.4,3.2,0
BEN-0202,Cavally,Urbain,Femme,23,Divorce(e),Secondaire,Commerce,Solidaire,Groupe A,1,5,Oui,Non,300000,24,2.0,238400,322000,35.1,38200,1,95.7,2.7,1
BEN-0203,Zanzan,Semi-urbain,Femme,28,Celibataire,Primaire,Services,Solidaire,Groupe B,0,5,Non,Non,113000,6,6.8,97500,108200,11.0,10900,1,63.7,3.5,0
BEN-0204,Vallee du Bandama,Semi-urbain,Femme,26,Celibataire,Primaire,Commerce,Solidaire,Groupe C,0,7,Non,Non,155000,24,5.3,89800,111500,24.2,300,0,87.6,,0
BEN-0205,Cavally,Rural,Femme,31,Celibataire,Aucun,Artisanat,Solidaire,Groupe C,4,9,Non,Oui,555000,24,40.8,257100,325200,26.5,25200,2,100.0,3.4,1
BEN-0206,Belier,Urbain,Femme,53,Marie(e),Secondaire,Agriculture,Solidaire,Groupe A,0,4,Oui,Oui,280000,6,0.5,354800,607900,71.3,15600,0,93.9,2.7,0
BEN-0207,Cavally,Urbain,Femme,38,Celibataire,Primaire,Artisanat,Solidaire,Groupe A,3,5,Non,Oui,355000,18,53.4,263600,353600,34.1,10100,1,100.0,3.1,1
BEN-0208,Zanzan,Semi-urbain,Femme,37,Marie(e),Aucun,Commerce,Individuel,Groupe A,1,7,Oui,Oui,272000,24,,125900,128700,2.2,8700,4,100.0,4.1,1
BEN-0209,Vallee du Bandama,Rural,Femme,41,Marie(e),Aucun,Artisanat,Individuel,Groupe A,3,5,Non,Non,616000,6,51.3,,156300,15.5,5800,1,,3.6,1
BEN-0210,Marahoue,Rural,Homme,25,Celibataire,Secondaire,Commerce,Solidaire,Groupe A,2,5,Non,Non,232000,12,22.3,244300,205900,-15.7,14900,3,90.9,4.0,0
BEN-0211,Vallee du Bandama,Rural,Femme,48,Celibataire,Aucun,Agriculture,Solidaire,Groupe A,3,3,Non,Non,407000,12,44.5,100900,105500,4.6,500,1,74.9,3.3,0
BEN-0212,Zanzan,Urbain,Femme,43,Divorce(e),Superieur,Artisanat,Individuel,Groupe B,5,5,Oui,Non,482000,18,0.5,112700,154300,36.9,13700,1,94.6,2.9,1
BEN-0213,Zanzan,Urbain,Homme,20,Veuf/Veuve,Secondaire,Agriculture,Solidaire,Groupe A,0,6,Oui,Oui,187000,12,0.5,473300,619700,30.9,23100,2,89.4,4.2,1
BEN-0214,Zanzan,Rural,Homme,21,Divorce(e),Primaire,Artisanat,Solidaire,Groupe B,1,8,Oui,Non,445000,24,,105400,123300,17.0,6200,2,78.0,1.0,1
BEN-0215,Belier,Urbain,Femme,31,Marie(e),Primaire,Elevage,Solidaire,Groupe B,1,5,Oui,Oui,114000,6,0.5,160800,153200,-4.7,900,0,81.3,2.6,1
BEN-0216,Marahoue,Rural,Femme,37,Celibataire,Primaire,Elevage,Individuel,Groupe B,0,7,Non,Non,709000,18,15.8,113400,115400,1.8,3900,2,59.3,5.0,0
BEN-0217,Zanzan,Rural,Femme,51,Marie(e),Aucun,Services,Individuel,Groupe C,2,8,Non,Oui,733000,24,34.8,148400,149000,0.4,9900,1,88.3,3.6,1
BEN-0218,Cavally,Semi-urbain,Femme,52,Marie(e),Secondaire,Transformation,Solidaire,Groupe C,1,6,Non,Non,167000,12,19.5,126300,173100,37.1,8400,0,96.9,5.0,0
BEN-0219,Vallee du Bandama,Rural,Femme,37,Marie(e),Aucun,Commerce,Solidaire,Groupe B,2,7,Oui,Oui,159000,18,33.9,302700,250100,-17.4,15400,1,86.2,4.2,1
BEN-0220,Marahoue,Urbain,Femme,32,Marie(e),Aucun,Elevage,Individuel,Groupe A,1,6,Non,Oui,245000,24,0.5,107100,146200,36.5,5600,1,74.0,4.9,0
BEN-0221,Zanzan,Rural,Femme,48,Marie(e),Superieur,Services,Solidaire,Groupe A,4,7,Non,Non,349000,12,23.5,133200,189100,42.0,28500,0,100.0,2.1,1
BEN-0222,Belier,Rural,Femme,47,Marie(e),Aucun,Agriculture,Solidaire,Groupe C,1,2,Non,Non,343000,36,18.9,169300,185200,9.4,18900,3,90.9,4.8,0
BEN-0223,Zanzan,Rural,Homme,53,Marie(e),Primaire,Artisanat,Solidaire,Groupe B,1,8,Non,Non,318000,12,42.4,101000,101400,0.4,4500,2,80.8,3.6,0
BEN-0224,Vallee du Bandama,Urbain,Femme,39,Marie(e),Superieur,Services,Solidaire,Groupe A,1,6,Non,Oui,277000,12,0.5,282300,348600,23.5,2600,1,100.0,4.1,0
BEN-0225,Cavally,Semi-urbain,Femme,28,Celibataire,Superieur,Commerce,Solidaire,Groupe A,1,3,Oui,Non,167000,12,12.4,80400,133300,65.8,4600,0,88.5,3.0,0
BEN-0226,Cavally,Urbain,Femme,23,Celibataire,Primaire,Commerce,Solidaire,Groupe B,3,7,Non,Oui,410000,12,8.4,320700,481300,50.1,24900,5,99.4,3.3,1
BEN-0227,Belier,Urbain,Femme,42,Marie(e),Aucun,Commerce,Solidaire,Groupe C,3,4,Non,Non,321000,18,0.8,202000,338200,67.4,18400,1,78.5,2.3,1
BEN-0228,Belier,Rural,Homme,32,Marie(e),Primaire,Agriculture,Individuel,Groupe C,3,6,Oui,Oui,704000,18,51.6,75900,105200,38.6,2600,0,52.9,,1
BEN-0229,Belier,Rural,Femme,32,Celibataire,Secondaire,Agriculture,Individuel,Groupe B,1,7,Non,Non,583000,6,28.4,228600,186300,-18.5,15600,3,68.6,3.5,1
BEN-0230,Marahoue,Urbain,Femme,29,Celibataire,Secondaire,Transformation,Solidaire,Groupe A,3,4,Non,Oui,126000,12,4.1,183800,272300,48.2,2200,0,100.0,5.0,0
BEN-0231,Vallee du Bandama,Urbain,Femme,28,Marie(e),Superieur,Artisanat,Solidaire,Groupe B,3,2,Non,Oui,352000,12,3.7,185400,257800,39.1,13400,0,100.0,4.5,0
BEN-0232,Zanzan,Urbain,Femme,39,Marie(e),Aucun,Commerce,Solidaire,Groupe A,1,6,Oui,Oui,242000,12,0.5,369400,421600,14.1,30600,1,88.1,2.7,1
BEN-0233,Marahoue,Rural,Homme,36,Veuf/Veuve,Primaire,Commerce,Solidaire,Groupe C,2,8,Oui,Oui,89000,12,30.8,80300,78800,-1.9,1600,0,100.0,,1
BEN-0234,Vallee du Bandama,Semi-urbain,Femme,40,Celibataire,Superieur,Elevage,Individuel,Groupe A,3,4,Non,Oui,501000,18,9.6,130100,146700,12.8,1500,1,100.0,5.0,0
BEN-0235,Marahoue,Urbain,Homme,32,Marie(e),Primaire,Artisanat,Individuel,Groupe C,2,11,Oui,Oui,487000,24,22.6,110400,128800,16.7,9200,0,75.5,3.9,0
BEN-0236,Marahoue,Rural,Femme,41,Celibataire,Primaire,Commerce,Individuel,Groupe A,1,4,Oui,Oui,632000,6,21.6,58000,66700,15.0,7700,1,94.9,3.4,0
BEN-0237,Zanzan,Urbain,Femme,56,Marie(e),Primaire,Transformation,Solidaire,Groupe A,2,5,Non,Oui,309000,18,0.5,270000,298800,10.7,11600,3,83.6,3.5,0
BEN-0238,Zanzan,Urbain,Femme,33,Celibataire,Aucun,Elevage,Solidaire,Groupe C,3,3,Non,Oui,90000,12,21.5,74000,86300,16.6,1300,0,100.0,2.7,0
BEN-0239,Cavally,Rural,Homme,38,Marie(e),Secondaire,Artisanat,Individuel,Groupe B,0,7,Non,Oui,514000,12,18.5,163500,154300,-5.6,5900,2,,3.4,1
BEN-0240,Belier,Rural,Femme,51,Divorce(e),Primaire,Agriculture,Solidaire,Groupe B,2,4,Non,Non,443000,6,25.8,30400,30100,-1.0,200,4,82.6,3.9,0
BEN-0241,Cavally,Semi-urbain,Femme,34,Celibataire,Aucun,Services,Individuel,Groupe C,1,8,Oui,Non,530000,36,3.2,206700,228100,10.4,16600,0,69.9,2.2,1
BEN-0242,Belier,Rural,Femme,41,Veuf/Veuve,Primaire,Agriculture,Solidaire,Groupe B,4,4,Oui,Non,85000,6,16.3,69800,67800,-2.9,6100,0,93.4,1.7,1
BEN-0243,Marahoue,Rural,Homme,35,Veuf/Veuve,Aucun,Agriculture,Individuel,Groupe A,1,5,Oui,Non,339000,24,35.3,87000,97000,11.5,4500,3,,3.1,1
BEN-0244,Belier,Semi-urbain,Homme,23,Celibataire,Aucun,Artisanat,Solidaire,Groupe B,4,5,Non,Non,329000,36,0.7,271100,260400,-3.9,6000,2,73.4,3.5,1
BEN-0245,Zanzan,Rural,Femme,46,Divorce(e),Secondaire,Services,Individuel,Groupe A,0,3,Non,Non,701000,6,28.3,200000,256400,28.2,36200,0,80.1,3.8,0
BEN-0246,Belier,Urbain,Homme,47,Marie(e),Superieur,Artisanat,Solidaire,Groupe B,4,4,Oui,Oui,254000,18,16.9,206800,281100,35.9,5600,1,100.0,4.1,1
BEN-0247,Zanzan,Rural,Femme,34,Celibataire,Secondaire,Services,Solidaire,Groupe C,1,5,Non,Non,307000,36,25.9,73600,80400,9.2,1300,1,100.0,4.2,0
BEN-0248,Vallee du Bandama,Urbain,Femme,41,Divorce(e),Primaire,Commerce,Solidaire,Groupe A,2,7,Oui,Oui,1423000,12,0.5,183500,200100,9.0,5400,0,81.2,2.7,1
BEN-0249,Zanzan,Urbain,Homme,43,Divorce(e),Secondaire,Transformation,Individuel,Groupe A,0,3,Non,Oui,585000,36,45.1,284100,332300,17.0,12500,0,60.0,3.4,1
BEN-0250,Belier,Semi-urbain,Homme,41,Celibataire,Primaire,Artisanat,Solidaire,Groupe C,2,7,Non,Oui,332000,6,24.0,72500,90200,24.4,3400,0,92.2,3.1,1
BEN-0251,Vallee du Bandama,Urbain,Femme,53,Celibataire,Aucun,Agriculture,Individuel,Groupe A,1,6,Non,Non,573000,12,0.5,222500,334500,50.3,27800,2,84.4,2.6,1
BEN-0252,Vallee du Bandama,Semi-urbain,Femme,52,Marie(e),Aucun,Commerce,Solidaire,Groupe A,3,5,Oui,Non,350000,12,7.5,192500,272800,41.7,23100,1,100.0,3.3,0
BEN-0253,Cavally,Semi-urbain,Femme,48,Celibataire,Superieur,Agriculture,Solidaire,Groupe C,2,6,Non,Oui,413000,18,1.5,,538600,38.0,3800,3,100.0,4.0,0
BEN-0254,Marahoue,Semi-urbain,Homme,18,Veuf/Veuve,Aucun,Services,Individuel,Groupe A,2,4,Oui,Non,276000,12,22.9,98000,135500,38.3,,1,87.8,3.2,0
BEN-0255,Zanzan,Urbain,Homme,42,Marie(e),Primaire,Agriculture,Solidaire,Groupe A,3,8,Non,Non,92000,18,0.5,180400,270700,50.1,10100,1,100.0,3.2,0
BEN-0256,Cavally,Rural,Homme,54,Veuf/Veuve,Primaire,Artisanat,Individuel,Groupe C,4,8,Oui,Non,658000,24,46.4,150600,204100,35.5,5500,1,63.7,4.2,0
BEN-0257,Vallee du Bandama,Semi-urbain,Femme,22,Marie(e),Primaire,Commerce,Individuel,Groupe B,2,5,Non,Non,364000,6,14.1,69300,98500,42.1,500,0,96.3,4.3,0
BEN-0258,Belier,Rural,Homme,33,Veuf/Veuve,Aucun,Services,Solidaire,Groupe C,1,4,Non,Oui,173000,12,17.1,106000,93600,-11.7,2800,0,91.5,4.1,1
BEN-0259,Marahoue,Rural,Femme,34,Marie(e),Primaire,Commerce,Solidaire,Groupe B,3,5,Oui,Non,285000,12,,136200,107100,-21.4,9500,1,100.0,3.7,1
BEN-0260,Belier,Semi-urbain,Femme,34,Celibataire,Secondaire,Commerce,Individuel,Groupe B,2,1,Non,Oui,401000,36,2.9,139000,130000,-6.5,7700,2,86.2,3.6,0
BEN-0261,Zanzan,Urbain,Femme,35,Marie(e),Aucun,Elevage,Solidaire,Groupe C,5,7,Oui,Oui,372000,6,0.5,147100,238800,62.3,7800,1,100.0,4.3,0
BEN-0262,Cavally,Semi-urbain,Homme,37,Marie(e),Secondaire,Artisanat,Solidaire,Groupe B,1,6,Non,Oui,404000,6,10.1,247800,316600,27.8,17900,1,79.6,3.0,1
BEN-0263,Marahoue,Rural,Femme,31,Marie(e),Superieur,Commerce,Individuel,Groupe C,0,3,Oui,Non,384000,6,40.1,196900,268000,36.1,21300,2,89.3,5.0,0
BEN-0264,Marahoue,Urbain,Femme,51,Celibataire,Aucun,Agriculture,Solidaire,Groupe B,2,4,Oui,Oui,143000,18,0.5,84900,126400,48.9,1600,0,95.3,4.5,0
BEN-0265,Marahoue,Urbain,Femme,33,Divorce(e),Aucun,Elevage,Individuel,Groupe A,1,1,Oui,Non,296000,18,0.5,132400,145800,10.1,900,1,72.6,2.7,0
BEN-0266,Marahoue,Rural,Femme,40,Divorce(e),Superieur,Agriculture,Individuel,Groupe B,1,2,Non,Non,371000,6,19.3,409500,573400,40.0,19800,2,73.1,4.5,1
BEN-0267,Zanzan,Urbain,Homme,41,Celibataire,Aucun,Agriculture,Solidaire,Groupe C,3,4,Oui,Oui,425000,6,0.5,240100,307500,28.1,5200,0,91.0,2.6,1
BEN-0268,Marahoue,Urbain,Homme,23,Celibataire,Secondaire,Artisanat,Solidaire,Groupe C,2,7,Non,Oui,126000,12,0.5,152700,172800,13.2,12200,0,89.7,4.0,0
BEN-0269,Marahoue,Urbain,Femme,32,Marie(e),Secondaire,Agriculture,Solidaire,Groupe B,2,5,Oui,Oui,220000,12,,137600,192400,39.8,15100,1,92.0,3.3,1
BEN-0270,Vallee du Bandama,Urbain,Femme,47,Marie(e),Primaire,Commerce,Individuel,Groupe A,3,5,Oui,Oui,208000,36,0.5,103900,139600,34.4,9100,1,76.7,3.3,0
BEN-0271,Zanzan,Semi-urbain,Homme,27,Veuf/Veuve,Superieur,Commerce,Solidaire,Groupe B,1,5,Oui,Non,148000,12,12.6,250300,285900,14.2,38200,0,85.7,3.8,1
BEN-0272,Marahoue,Rural,Homme,48,Celibataire,Primaire,Services,Individuel,Groupe A,1,6,Oui,Oui,402000,36,34.5,215900,243700,12.9,7800,3,93.9,3.6,0
BEN-0273,Marahoue,Semi-urbain,Femme,32,Marie(e),Primaire,Elevage,Solidaire,Groupe C,1,7,Oui,Non,694000,24,18.7,139200,152500,9.6,7300,1,81.1,3.2,0
BEN-0274,Zanzan,Rural,Femme,44,Marie(e),Superieur,Transformation,Solidaire,Groupe C,1,3,Oui,Non,328000,24,26.8,148600,224900,51.3,13500,1,70.4,1.3,1
BEN-0275,Vallee du Bandama,Rural,Homme,36,Celibataire,Superieur,Agriculture,Individuel,Groupe B,1,7,Non,Non,559000,36,25.0,246300,276700,12.3,13500,1,45.9,4.8,1
BEN-0276,Vallee du Bandama,Semi-urbain,Homme,44,Celibataire,Secondaire,Artisanat,Individuel,Groupe B,1,4,Non,Oui,487000,12,7.6,109100,142800,30.9,3500,2,76.7,2.7,0
BEN-0277,Cavally,Semi-urbain,Femme,25,Marie(e),Primaire,Artisanat,Solidaire,Groupe B,2,1,Oui,Oui,276000,12,10.8,177500,230200,29.7,17900,1,78.3,2.7,0
BEN-0278,Vallee du Bandama,Rural,Homme,32,Veuf/Veuve,Primaire,Agriculture,Solidaire,Groupe C,0,4,Oui,Non,63000,12,16.9,,154800,8.7,,0,74.8,3.6,0
